iter	MultiClass
284	0.2653608469
285	0.2653534125
286	0.2653242666
287	0.2653206036
288	0.2653131576
289	0.2653075961
290	0.2653020453
291	0.26530016
292	0.2652928319
293	0.265289974
294	0.2652842349
295	0.2652716847
296	0.2652625033
297	0.2652574831
298	0.2652526973
299	0.2652425424
300	0.265236697
301	0.2652200742
302	0.2652166301
303	0.2652137112
304	0.2652115351
305	0.2651959259
306	0.2651874715
307	0.2651793181
308	0.265172189
309	0.265169307
310	0.2651578244
311	0.2651466019
312	0.2651322315
313	0.2651276532
314	0.2651142919
315	0.2651105842
316	0.2650970351
317	0.2650859126
318	0.2650575139
319	0.2650497526
320	0.2650452853
321	0.2650355276
322	0.265030531
323	0.2650213523
324	0.2650167021
325	0.2650054985
326	0.2649974749
327	0.2649934647
328	0.2649907949
329	0.2649845335
330	0.2649784507
331	0.2649730674
332	0.2649689053
333	0.2649612016
334	0.2649559072
335	0.2649398172
336	0.2649312516
337	0.264923051
338	0.2649190997
339	0.2649162434
340	0.2649036768
341	0.2648986193
342	0.2648765199
343	0.264874089
344	0.2648712682
345	0.2648513777
346	0.2648454296
347	0.2648419144
348	0.2648373046
349	0.2648298214
350	0.2648255016
351	0.2648128492
352	0.2648097533
353	0.2647970044
354	0.2647935858
355	0.2647894132
356	0.2647795064
357	0.264775787
358	0.2647721715
359	0.2647684349
360	0.2647631733
361	0.2647598192
362	0.2647560542
363	0.2647522215
364	0.2647484328
365	0.2647458687
366	0.2647398733
367	0.2647364386
368	0.2647329111
369	0.2647283358
370	0.2647250022
371	0.2647220249
372	0.2647201142
373	0.2647104554
374	0.2647064897
375	0.2646980351
376	0.2646944006
377	0.2646890839
378	0.2646860965
379	0.2646811559
380	0.2646741121
381	0.2646709565
382	0.2646669184
383	0.2646644137
384	0.2646623403
385	0.2646576013
386	0.2646550322
387	0.2646483705
388	0.2646438567
389	0.2646410222
390	0.264636599
391	0.2646286464
392	0.2646237774
393	0.2646181417
394	0.2646103569
395	0.2646014196
396	0.2645979866
397	0.2645932976
398	0.264583458
399	0.2645810567
400	0.2645797779
401	0.2645759826
402	0.2645697076
403	0.2645656129
404	0.264558729
405	0.2645549114
406	0.2645445462
407	0.2645425347
408	0.2645403448
409	0.2645362991
410	0.2645202544
411	0.2645171969
412	0.2645144993
413	0.2645117451
414	0.2645072166
415	0.2645054927
416	0.2645019217
417	0.2644990758
418	0.2644940888
419	0.2644884815
420	0.264486269
421	0.2644808675
