iter	Passed	Remaining
402	11058	21870
403	11086	21844
404	11110	21809
405	11136	21778
406	11166	21757
407	11190	21723
408	11213	21687
409	11238	21654
410	11266	21627
411	11290	21595
412	11314	21561
413	11341	21532
414	11367	21502
415	11391	21467
416	11416	21436
417	11441	21405
418	11467	21375
419	11493	21344
420	11518	21312
421	11548	21290
422	11571	21256
423	11595	21221
424	11617	21185
425	11643	21155
426	11667	21121
427	11694	21093
428	11720	21064
429	11747	21037
430	11773	21006
431	11804	20986
432	11832	20959
433	11855	20925
434	11884	20899
435	11912	20873
436	11941	20849
437	11968	20821
438	11996	20795
439	12022	20766
440	12048	20736
441	12077	20711
442	12105	20685
443	12132	20658
444	12158	20627
445	12182	20596
446	12206	20563
447	12230	20530
448	12258	20504
449	12286	20476
450	12310	20445
451	12336	20414
452	12365	20390
453	12390	20359
454	12417	20331
455	12441	20298
456	12465	20267
457	12493	20241
458	12521	20214
459	12545	20181
460	12571	20153
461	12596	20121
462	12620	20089
463	12642	20054
464	12672	20030
465	12698	20001
466	12726	19974
467	12750	19943
468	12775	19912
469	12804	19888
470	12829	19857
471	12854	19826
472	12878	19793
473	12904	19764
474	12930	19735
475	12958	19710
476	12984	19681
477	13011	19653
478	13036	19623
479	13060	19591
480	13087	19563
481	13115	19536
482	13141	19507
483	13167	19478
484	13191	19447
485	13218	19420
486	13243	19389
487	13269	19360
488	13301	19339
489	13331	19317
490	13358	19288
491	13381	19256
492	13406	19225
493	13432	19197
494	13460	19171
495	13489	19145
496	13515	19117
497	13543	19091
498	13570	19063
499	13595	19033
500	13620	19003
501	13651	18980
502	13679	18955
503	13709	18932
504	13738	18906
505	13772	18889
506	13802	18866
507	13831	18841
508	13859	18814
509	13888	18790
510	13916	18764
511	13948	18742
512	13976	18716
513	14005	18692
514	14032	18664
515	14065	18644
516	14096	18623
517	14126	18598
518	14155	18573
519	14182	18546
520	14210	18519
521	14238	18493
522	14265	18466
523	14291	18436
524	14321	18413
525	14348	18386
526	14373	18355
527	14397	18323
528	14423	18294
529	14448	18265
530	14476	18238
531	14500	18207
532	14525	18177
533	14552	18149
534	14576	18118
535	14603	18090
536	14630	18062
537	14656	18034
538	14682	18006
539	14712	17982
540	14739	17954
541	14767	17928
542	14794	17900
543	14818	17869
544	14843	17839
545	14870	17811
546	14894	17780
547	14919	17751
548	14944	17721
549	14969	17691
550	14995	17662
551	15021	17633
552	15049	17607
553	15074	17578
554	15100	17549
555	15126	17520
556	15150	17489
557	15178	17463
558	15206	17436
559	15232	17408
560	15259	17381
561	15287	17354
562	15312	17325
563	15338	17296
564	15365	17269
565	15390	17239
566	15415	17209
567	15441	17180
568	15468	17154
569	15495	17126
570	15522	17098
571	15549	17071
572	15578	17046
573	15604	17018
574	15630	16989
575	15655	16959
576	15679	16929
577	15702	16897
578	15729	16870
579	15756	16843
580	15783	16815
581	15808	16786
582	15833	16756
583	15864	16733
584	15894	16709
585	15927	16688
586	15959	16666
587	15991	16644
588	16024	16622
589	16052	16596
590	16079	16568
591	16106	16541
592	16131	16512
593	16157	16483
594	16184	16456
595	16209	16427
596	16236	16399
597	16262	16371
598	16286	16341
599	16315	16315
600	16342	16288
601	16369	16260
602	16395	16232
603	16422	16205
604	16458	16186
605	16487	16160
606	16515	16134
607	16545	16110
608	16580	16090
609	16609	16065
610	16634	16035
611	16659	16005
612	16686	15978
613	16711	15949
614	16734	15918
615	16759	15888
616	16785	15860
617	16808	15829
618	16834	15801
619	16861	15773
620	16888	15746
621	16912	15715
622	16939	15688
623	16965	15660
624	17004	15644
625	17030	15615
626	17059	15589
627	17084	15560
628	17109	15532
629	17135	15503
630	17158	15472
631	17184	15444
632	17208	15413
633	17233	15385
634	17259	15356
635	17286	15329
636	17312	15300
637	17341	15275
638	17370	15250
639	17406	15230
640	17433	15203
641	17462	15177
642	17490	15151
643	17516	15122
644	17540	15092
645	17563	15062
646	17588	15033
647	17617	15007
648	17644	14980
649	17669	14951
650	17692	14920
651	17717	14891
652	17744	14863
653	17770	14835
654	17795	14807
655	17823	14780
656	17850	14752
657	17875	14723
658	17901	14695
659	17926	14666
660	17950	14637
661	17982	14614
662	18008	14586
663	18036	14559
